assets/images/Bag_14.jpg,Cái cặp sách,Tiger,path/to/voice_vietnamese1.mp3,path/to/voice_english1.mp3
assets/images/Bear_29.jpg,Con Gấu,Cat,path/to/voice_vietnamese2.mp3,path/to/voice_english2.mp3
assets/images/Book_154.jpg,Con chó,Dog,path/to/voice_vietnamese3.mp3,path/to/voice_english3.mp3
assets/images/Bottle_94.jpg,Chai nước,Boottle,voicevn,voiceeng
assets/images/Brown_bear_43.jpg,Con gấu đen,Brown_bear,voicevn,voiceeng
assets/images/Bull_34.jpg,Con bò tót,Bull,voicevn,voiceeng
assets/images/Butterfly_103.jpg,Con bướm,Butterfly,voicevn,voiceeng
assets/images/Camel_19.jpg,Con lạc đà,Camel,voicevn,voiceeng
assets/images/Canary_16.jpg,Chim kim tước,Canary,voicevn,voiceeng
assets/images/Candy.jpg,Cái kẹo,Candy,voicevn,voiceeng
assets/images/Cat_22.jpg,Con mèo,Cat,voicevn,voiceeng
assets/images/Caterpillar_81.jpg,Con sâu bướm,Caterpillar,voicevn,voiceeng
assets/images/Cattle_29.jpg,COn bò sừng dài,Catteel,voicevn,voiceeng
assets/images/Ceiling_light_103.jpg,Đèn trần,Ceiling_light,voicevn,voiceeng
assets/images/Centipede_90.jpg,Con rết,Centipede,voicevn,voiceeng
assets/images/Chair_1.jpg,Cái ghế,Chair,voicevn,voiceeng
assets/images/Cheetah_8.jpg,Con báo hoa mai,Cheetah,voicevn,voiceeng
assets/images/Chicken_47.jpg,Con gà,Chicken,voicevn,voiceeng
assets/images/Crab_79.jpg,Con cua,Crab,voicevn,voiceeng
assets/images/Crocodile_32.jpg,Con cá sấu,Crocodile,voicevn,voiceeng
assets/images/Deer_148.jpg,Con nai,Deer,voicevn,voiceeng
assets/images/Dog_82.jpg,Con chó,Dog,voicevn,voiceeng
assets/images/Duck_98.jpg,Con vịt,Duck,voicevn,voiceeng
assets/images/Eagle_49.jpg,Con chim ưng,Eagle,voicevn,voiceeng
assets/images/Electric fan_124.jpg,cái quạt trần,Electric fan,voicevn,voiceeng
assets/images/Elephant_95.jpg,Con voi,Elephant,voicevn,voiceeng
assets/images/Fish_106.jpg,Con cá,Fish,voicevn,voiceeng
assets/images/Fox_3.jpg,Con cáo,Fox,voicevn,voiceeng
assets/images/Fridge_16.jpg,Cái tủ lạnh,Fridge,voicevn,voiceeng
assets/images/Frog_93.jpg,Con ếch,Frog,voicevn,voiceeng
